SERVICE_DELETE_START
#存款核心
3012020007	03	CDFA
3012020009	01	RDFA
3012020009	01	CDFA
3012020010	01	RDFA
3012020010	01	CDFA
3012020011	01	RDFA
3012020011	01	CDFA
3012020011	02	RDFA
3012020011	02	CDFA
3012020011	03	RDFA
3012020011	03	CDFA
3012020011	04	RDFA
3012020011	04	CDFA
3012020011	05	RDFA
3012020011	05	CDFA
3012020011	06	RDFA
3012020011	06	CDFA
3012020011	07	RDFA
3012020011	07	CDFA
3012020011	08	RDFA
3012020011	08	CDFA
3012020011	09	RDFA
3012020011	09	CDFA
3012020011	11	RDFA
3012020011	11	CDFA
3012020011	12	RDFA
3012020011	12	CDFA
3012020011	13	RDFA
3012020011	13	CDFA
3012020012	01	RDFA
3012020012	01	CDFA
3012020012	02	RDFA
3012020012	02	CDFA
3012020013	01	RDFA
3012020013	01	CDFA
3012020013	02	RDFA
3012020013	02	CDFA
3012020013	03	RDFA
3012020013	03	CDFA
3012020013	04	RDFA
3012020013	04	CDFA
3012020013	05	RDFA
3012020013	05	CDFA
3012020013	06	RDFA
3012020013	06	CDFA
3012020014	01	RDFA
3012020014	01	CDFA
3012020014	02	RDFA
3012020014	02	CDFA
3012020014	03	RDFA
3012020014	03	CDFA
3012020014	04	RDFA
3012020014	04	CDFA
3012020014	05	RDFA
3012020014	05	CDFA
3012020015	01	RDFA
3012020015	01	CDFA
3012020015	02	RDFA
3012020015	02	CDFA
3012020016	01	RDFA
3012020016	01	CDFA
3012020016	02	RDFA
3012020016	02	CDFA
3012020016	03	RDFA
3012020016	03	CDFA
3012020016	04	RDFA
3012020016	04	CDFA
3012020016	05	RDFA
3012020016	05	CDFA
3012020016	07	RDFA
3012020016	07	CDFA
3012020016	08	RDFA
3012020016	08	CDFA
3012020016	09	RDFA
3012020016	09	CDFA
3012020016	11	RDFA
3012020016	11	CDFA
3012020016	12	RDFA
3012020016	12	CDFA
3012020016	13	RDFA
3012020016	13	CDFA
3012020017	01	RDFA
3012020017	01	CDFA
3012020017	02	RDFA
3012020017	02	CDFA
3012020017	03	RDFA
3012020017	03	CDFA
3012020017	04	RDFA
3012020017	04	CDFA
3012020018	01	RDFA
3012020018	01	CDFA
3012020019	01	RDFA
3012020019	01	CDFA
3012020019	02	RDFA
3012020019	02	CDFA
3012020020	01	RDFA
3012020020	01	CDFA
3012020021	01	RDFA
3012020021	01	CDFA
3012020023	02	RDFA
3012020023	02	CDFA
3012020023	03	RDFA
3012020023	03	CDFA
3012020023	04	RDFA
3012020023	04	CDFA
3012020024	01	RDFA
3012020024	01	CDFA
3012020024	02	RDFA
3012020024	02	CDFA
3012020024	03	RDFA
3012020024	03	CDFA
3012020024	04	RDFA
3012020024	04	CDFA
3012020024	06	RDFA
3012020024	06	CDFA
3012020025	01	RDFA
3012020025	01	CDFA
3012020026	01	RDFA
3012020026	01	CDFA
3012020027	01	RDFA
3012020027	01	CDFA
3012020028	01	RDFA
3012020028	01	CDFA
3012020028	02	RDFA
3012020028	02	CDFA
3012030001	01	RDFA
3012030001	01	CDFA
3012030001	02	RDFA
